tlg001:1.1	μῆνιν	1	3	long-μῆν-short-ιν	hemi1
tlg001:1.1	ἄειδε	4	7	short-ἄ-long-ειδ-short-ε	hemi1
tlg001:1.1	θεὰ	8	10	short-θε-long-ὰ	hemi1	naturallongalpha:ὰ-Π
tlg001:1.1	Πηληϊάδεω	11	18	Π-long-ηλ-long-η-short-ϊ-short-άδ-long-εω	hemi2	caesmasc3	synizesis
tlg001:1.1	Ἀχιλῆος	19	24	short-Ἀχ-short-ιλ-long-ῆ-long-ος	hemi2
tlg001:1.2	οὐλομένην,	1	6	long-οὐλ-short-ομ-short-έν-long-ην	hemi1
tlg001:1.2	ἣ	7	8	long-ἣ	hemi1
tlg001:1.2	μυρί’	9	11	long-μυρ-short-ί’	hemi1	diaer3
tlg001:1.2	Ἀχαιοῖς	12	16	short-Ἀχ-long-αι-long-οῖς	hemi2	caesfem3
tlg001:1.2	ἄλγε’	17	19	long-ἄλγ-short-ε’	hemi2	bucdiaer
tlg001:1.2	ἔθηκε,	20	24	short-ἔθ-long-ηκ-long-ε	hemi2
tlg001:1.3	πολλὰς	1	4	long-πολλ-long-ὰς	hemi1
tlg001:1.3	δ’	5	5	δ’	hemi1
tlg001:1.3	ἰφθίμους	5	10	long-ἰφθ-long-ίμ-long-ους	hemi1	diaer2
tlg001:1.3	ψυχὰς	11	14	long-ψυχ-long-ὰς	hemi2	caesmasc3
tlg001:1.3	Ἄϊδι	15	18	short-Ἄ-short-ϊδ-long-ι	hemi2
tlg001:1.3	προΐαψεν	19	24	short-προ-short-ΐ-long-αψ-long-εν	hemi2
tlg001:1.4	ἡρώων,	1	6	long-ἡρ-long-ώ-long-ων	hemi1
tlg001:1.4	αὐτοὺς	7	10	long-αὐτ-long-οὺς	hemi1
tlg001:1.4	δὲ	11	11	short-δὲ	hemi1	noelision:δὲ+ἑλώρια
tlg001:1.4	ἑλώρια	12	16	short-ἑλ-long-ώρ-short-ι-short-α	hemi2	caesfem3
tlg001:1.4	τεῦχε	17	19	long-τεῦχ-short-ε	hemi2	bucdiaer
tlg001:1.4	κύνεσσιν	20	24	short-κύν-long-εσσ-long-ιν	hemi2
tlg001:1.5	οἰωνοῖσί	1	7	long-οἰ-long-ων-long-οῖσ-short-ί	hemi1
tlg001:1.5	τε	8	8	short-τε	hemi1
tlg001:1.5	πᾶσι,	9	11	long-πᾶσ-short-ι	hemi1	diaer3
tlg001:1.5	Διὸς	12	14	Δ-short-ι-long-ὸς	hemi2	caesfem3
tlg001:1.5	δ’	15	15	δ’	hemi2
tlg001:1.5	ἐτελείετο	15	20	short-ἐτ-short-ελ-long-εί-short-ετ-short-ο	hemi2
tlg001:1.5	βουλή,	21	24	long-βουλ-long-ή	hemi2	diaer6
tlg001:1.6	ἐξ	1	2	long-ἐξ	hemi1
tlg001:1.6	οὗ	3	4	long-οὗ	hemi1
tlg001:1.6	δὴ	5	6	long-δὴ	hemi1	diaer2
tlg001:1.6	τὰ	7	8	long-τὰ	hemi1
tlg001:1.6	πρῶτα	9	11	long-πρῶτ-short-α	hemi1	diaer3
tlg001:1.6	διαστήτην	12	18	short-δι-long-αστ-long-ήτ-long-ην	hemi2	caesfem3
tlg001:1.6	ἐρίσαντε	19	24	short-ἐρ-short-ίσ-long-αντ-long-ε	hemi2
tlg001:1.7	Ἀτρεΐδης	1	6	long-Ἀτρ-short-ε-short-ΐδ-long-ης	hemi1
tlg001:1.7	τε	7	7	short-τε	hemi1	noelision:τε+ἄναξ
tlg001:1.7	ἄναξ	8	10	short-ἄν-long-αξ	hemi1
tlg001:1.7	ἀνδρῶν	11	14	long-ἀνδρ-long-ῶν	hemi2	caesmasc3
tlg001:1.7	καὶ	15	16	long-καὶ	hemi2
tlg001:1.7	δῖος	17	19	long-δῖ-short-ος	hemi2
tlg001:1.7	Ἀχιλλεύς.	20	24	short-Ἀχ-long-ιλλ-long-εύς	hemi2
tlg001:1.8	τίς	1	2	long-τίς	hemi1
tlg001:1.8	τ’	3	3	τ’	hemi1
tlg001:1.8	ἄρ	3	4	long-ἄρ	hemi1
tlg001:1.8	σφωε	5	7	σφ-long-ω-short-ε	hemi1	diaer2
tlg001:1.8	θεῶν	8	10	short-θε-long-ῶν	hemi1
tlg001:1.8	ἔριδι	11	14	short-ἔρ-short-ιδ-long-ι	hemi2	caesmasc3
tlg001:1.8	ξυνέηκε	15	19	short-ξυν-short-έ-long-ηκ-short-ε	hemi2
